ENTIDAD|DISTRITO|MUNICIPIO|SECCION|LOCALIDAD|MANZANA|STATUS
4|1|1|1|1|1|C
4|1|1|1|1|2|C
4|1|1|1|1|3|C
4|1|1|1|1|4|C
4|1|1|1|1|5|C
4|1|1|1|1|6|*
4|1|1|1|1|7|C
4|1|1|1|1|8|*
4|1|1|1|1|9|C
4|1|1|1|1|10|C
4|1|1|1|1|11|C
4|1|1|1|1|12|C
4|1|1|1|1|13|C
4|1|1|1|1|14|C
4|1|1|1|1|15|C
4|1|1|1|1|16|*
4|1|1|1|1|17|*
4|1|1|1|1|19|*
4|1|1|1|1|20|*
4|1|1|1|1|21|*
4|1|1|1|1|22|*
4|1|1|1|1|23|*
4|1|1|2|1|15|C
4|1|1|2|1|23|C
4|1|1|2|1|24|C
4|1|1|2|1|25|C
4|1|1|2|1|26|C
4|1|1|2|1|41|C
4|1|1|2|1|42|C
4|1|1|2|1|43|C
4|1|1|2|1|44|C
4|1|1|2|1|45|C
4|1|1|2|1|46|C
4|1|1|2|1|47|C
4|1|1|2|1|48|C
4|1|1|2|1|64|C
4|1|1|2|1|65|C
4|1|1|3|1|2|C
4|1|1|3|1|3|C
4|1|1|3|1|5|C
4|1|1|3|1|6|C
4|1|1|3|1|8|C
4|1|1|3|1|10|C
4|1|1|3|1|11|*
4|1|1|3|1|12|*
4|1|1|3|1|14|C
4|1|1|3|1|16|C
4|1|1|3|1|17|C
4|1|1|3|1|18|C
4|1|1|3|1|19|C
4|1|1|3|1|20|C
4|1|1|3|1|35|C
4|1|1|3|1|36|C
4|1|1|3|1|37|C
4|1|1|3|1|38|C
4|1|1|3|1|39|*
4|1|1|3|1|40|C
4|1|1|3|1|41|C
4|1|1|3|1|42|C
4|1|1|5|1|1|C
4|1|1|5|1|2|C
4|1|1|5|1|6|C
4|1|1|5|1|7|C
4|1|1|5|1|8|C
4|1|1|5|1|9|C
4|1|1|5|1|10|*
4|1|1|5|1|11|C
4|1|1|5|1|12|*
4|1|1|5|1|20|C
4|1|1|5|1|21|C
4|1|1|5|1|22|C
4|1|1|5|1|27|C
4|1|1|5|1|28|C
4|1|1|5|1|29|C
4|1|1|5|1|49|C
4|1|1|5|1|50|C
4|1|1|5|1|75|C
4|1|1|5|1|76|*
4|1|1|6|1|2|C
4|1|1|6|1|3|C
4|1|1|6|1|4|C
4|1|1|6|1|5|C
4|1|1|6|1|6|C
4|1|1|6|1|7|C
4|1|1|6|1|8|C
4|1|1|6|1|9|C
4|1|1|6|1|12|C
4|1|1|6|1|13|C
4|1|1|6|1|14|C
4|1|1|6|1|15|C
4|1|1|6|1|30|C
4|1|1|6|1|31|C
4|1|1|6|1|32|C
4|1|1|6|1|33|C
4|1|1|6|1|34|C
4|1|1|6|1|35|C
4|1|1|6|1|36|C
4|1|1|6|1|37|C
4|1|1|6|1|38|C
4|1|1|6|1|39|C
4|1|1|6|1|51|C
4|1|1|6|1|52|C
4|1|1|6|1|53|C
4|1|1|6|1|54|C
4|1|1|6|1|55|C
4|1|1|6|1|56|C
4|1|1|6|1|57|C
4|1|1|7|1|1|C
4|1|1|7|1|2|C
4|1|1|7|1|3|C
4|1|1|7|1|4|C
4|1|1|7|1|5|C
4|1|1|7|1|6|*
4|1|1|7|1|7|C
4|1|1|7|1|8|C
4|1|1|7|1|9|C
4|1|1|7|1|10|C
4|1|1|7|1|11|C
4|1|1|7|1|12|C
4|1|1|7|1|13|C
4|1|1|7|1|14|C
4|1|1|7|1|15|C
4|1|1|7|1|16|C
4|1|1|7|1|17|C
4|1|1|7|1|18|C
4|1|1|7|1|19|C
4|1|1|7|1|20|C
4|1|1|7|1|21|C
4|1|1|7|1|22|C
4|1|1|7|1|23|C
4|1|1|7|1|24|C
4|1|1|7|1|25|C
4|1|1|7|1|26|C
4|1|1|7|1|27|C
4|1|1|7|1|28|*
4|1|1|7|1|29|C
4|1|1|7|1|31|C
4|1|1|7|1|32|C
4|1|1|7|1|33|*
4|1|1|7|1|34|C
4|1|1|7|1|35|C
4|1|1|7|1|36|C
4|1|1|7|1|37|C
4|1|1|7|1|38|C
4|1|1|7|1|39|C
4|1|1|7|1|40|C
4|1|1|7|1|41|C
4|1|1|7|1|42|C
4|1|1|7|1|43|C
4|1|1|7|1|44|C
4|1|1|7|1|45|C
4|1|1|7|1|46|C
4|1|1|7|1|47|C
4|1|1|7|1|52|*
4|1|1|7|1|53|C
4|1|1|7|1|54|*
4|1|1|8|1|16|C
4|1|1|8|1|17|C
4|1|1|8|1|18|C
4|1|1|8|1|19|*
4|1|1|8|1|36|C
4|1|1|8|1|37|C
4|1|1|8|1|38|C
4|1|1|8|1|39|C
4|1|1|8|1|40|C
4|1|1|8|1|58|C
4|1|1|8|1|59|C
4|1|1|8|1|60|C
4|1|1|8|1|61|C
4|1|1|8|1|62|C
4|1|1|8|1|63|C
4|1|1|8|1|67|C
4|1|1|9|1|1|C
4|1|1|9|1|2|C
4|1|1|9|1|3|C
4|1|1|9|1|4|C
4|1|1|9|1|5|C
4|1|1|9|1|6|C
4|1|1|9|1|7|C
4|1|1|9|1|8|C
4|1|1|9|1|9|C
4|1|1|9|1|10|C
4|1|1|9|1|11|C
4|1|1|9|1|12|C
4|1|1|9|1|13|C
4|1|1|9|1|14|C
4|1|1|9|1|15|C
4|1|1|9|1|16|C
4|1|1|9|1|17|C
4|1|1|9|1|18|C
4|1|1|9|1|19|C
4|1|1|9|1|20|C
4|1|1|9|1|21|C
4|1|1|9|1|22|C
4|1|1|9|1|23|C
4|1|1|9|1|24|C
4|1|1|9|1|25|C
4|1|1|9|1|26|C
4|1|1|9|1|27|C
4|1|1|9|1|28|C
4|1|1|9|1|29|C
4|1|1|9|1|30|C
4|1|1|9|1|31|C
4|1|1|9|1|32|C
4|1|1|9|1|33|C
4|1|1|9|1|34|C
4|1|1|9|1|35|C
4|1|1|9|1|36|C
4|1|1|9|1|37|C
4|1|1|9|1|38|C
4|1|1|9|1|39|C
4|1|1|9|1|40|C
4|1|1|9|1|41|C
4|1|1|9|1|42|C
4|1|1|9|1|43|C
4|1|1|9|1|44|C
4|1|1|9|1|45|C
4|1|1|9|1|46|C
4|1|1|9|1|47|C
4|1|1|9|1|48|C
4|1|1|9|1|49|C
4|1|1|9|1|50|C
4|1|1|9|1|51|C
4|1|1|9|1|52|C
4|1|1|9|1|53|C
4|1|1|9|1|54|C
4|1|1|9|1|55|C
4|1|1|9|1|56|C
4|1|1|9|1|57|C
4|1|1|9|1|58|C
4|1|1|9|1|59|C
4|1|1|9|1|60|C
4|1|1|9|1|61|C
4|1|1|9|1|62|C
4|1|1|9|1|63|C
4|1|1|9|1|64|C
4|1|1|9|1|65|C
4|1|1|9|1|66|C
4|1|1|9|1|68|C
4|1|1|9|1|69|C
4|1|1|9|1|70|C
4|1|1|9|1|71|C
4|1|1|9|1|72|C
4|1|1|9|1|73|C
4|1|1|9|1|74|C
4|1|1|9|1|75|C
4|1|1|9|1|76|C
4|1|1|9|1|77|C
4|1|1|9|1|78|C
4|1|1|9|1|79|C
4|1|1|9|1|80|C
4|1|1|9|1|81|C
4|1|1|9|1|82|C
4|1|1|9|1|83|C
4|1|1|9|1|84|C
4|1|1|9|1|85|C
4|1|1|9|1|86|C
4|1|1|9|1|87|C
4|1|1|9|1|88|C
4|1|1|9|1|89|C
4|1|1|9|1|91|C
4|1|1|9|1|92|C
4|1|1|9|1|93|C
4|1|1|9|1|94|C
4|1|1|9|1|95|C
4|1|1|9|1|96|C
4|1|1|9|1|97|C
4|1|1|9|1|98|C
4|1|1|9|1|99|C
4|1|1|9|1|101|C
4|1|1|9|1|105|*
4|1|1|9|1|106|*
4|1|1|9|1|107|C
4|1|1|9|1|108|C
4|1|1|9|1|109|C
4|1|1|9|1|111|C
4|1|1|9|1|112|C
4|1|1|9|1|113|C
4|1|1|9|1|114|C
4|1|1|9|1|115|C
4|1|1|9|1|116|C
4|1|1|10|1|5|C
4|1|1|10|1|6|C
4|1|1|10|1|33|C
4|1|1|10|1|41|C
4|1|1|10|1|46|C
4|1|1|10|1|50|C
4|1|1|10|1|51|C
4|1|1|10|1|68|C
4|1|1|10|1|71|C
4|1|1|10|1|72|C
4|1|1|10|1|74|C
4|1|1|11|1|1|*
4|1|1|11|1|5|C
4|1|1|11|1|6|*
4|1|1|11|1|7|C
4|1|1|11|1|8|C
4|1|1|11|1|11|C
4|1|1|11|1|12|C
4|1|1|11|1|13|C
4|1|1|11|1|14|C
4|1|1|11|1|15|*
4|1|1|11|1|16|C
4|1|1|11|1|17|*
4|1|1|11|1|18|*
4|1|1|11|1|19|*
4|1|1|11|1|37|C
4|1|1|11|1|49|C
4|1|1|11|1|50|C
4|1|1|11|1|62|C
4|1|1|12|1|2|*
4|1|1|12|1|3|*
4|1|1|12|1|4|*
4|1|1|12|1|5|*
4|1|1|12|1|6|C
4|1|1|12|1|7|C
4|1|1|12|1|9|C
4|1|1|12|1|11|*
4|1|1|12|1|12|*
4|1|1|12|1|13|*
4|1|1|12|1|14|*
4|1|1|12|1|15|*
4|1|1|12|1|16|*
4|1|1|12|1|17|*
4|1|1|12|1|19|*
4|1|1|12|1|20|C
4|1|1|12|1|21|C
4|1|1|12|1|22|C
4|1|1|12|1|23|C
4|1|1|12|1|24|C
4|1|1|12|1|25|C
4|1|1|12|1|27|C
4|1|1|12|1|28|*
4|1|1|12|1|29|*
4|1|1|12|1|30|*
4|1|1|12|1|31|*
4|1|1|12|1|55|C
4|1|1|12|1|66|C
4|1|1|12|1|67|*
4|1|1|12|1|68|*
4|1|1|13|1|5|C
4|1|1|13|1|6|C
4|1|1|13|1|9|*
4|1|1|13|1|13|C
4|1|1|13|1|20|C
4|1|1|13|1|31|C
4|1|1|13|1|38|C
4|1|1|13|1|39|C
4|1|1|13|1|60|C
4|1|1|13|1|68|C
4|1|1|13|1|69|C
4|1|1|13|1|70|C
4|1|1|13|1|76|C
4|1|1|13|1|85|C
4|1|1|13|1|86|C
4|1|1|13|1|87|C
4|1|1|13|1|89|C
4|1|1|14|1|6|C
4|1|1|14|1|14|C
4|1|1|14|1|15|C
4|1|1|14|1|16|C
4|1|1|14|1|21|C
4|1|1|14|1|22|C
4|1|1|14|1|32|C
4|1|1|14|1|48|C
4|1|1|14|1|52|C
4|1|1|14|1|53|C
4|1|1|14|1|54|C
4|1|1|14|1|77|C
4|1|1|15|1|1|C
4|1|1|15|1|3|C
4|1|1|15|1|14|C
4|1|1|15|1|19|C
4|1|1|15|1|20|C
4|1|1|15|1|34|C
4|1|1|15|1|35|C
4|1|1|15|1|36|C
4|1|1|15|1|40|C
4|1|1|15|1|42|C
4|1|1|15|1|43|C
4|1|1|15|1|46|C
4|1|1|15|1|59|C
4|1|1|15|1|61|C
4|1|1|15|1|62|C
4|1|1|15|1|81|C
4|1|1|15|1|82|C
4|1|1|15|1|90|C
4|1|1|16|1|1|C
4|1|1|16|1|2|C
4|1|1|16|1|3|C
4|1|1|16|1|4|C
4|1|1|16|1|5|C
4|1|1|16|1|6|C
4|1|1|16|1|7|C
4|1|1|16|1|8|C
4|1|1|16|1|9|C
4|1|1|16|1|11|C
4|1|1|16|1|13|C
4|1|1|16|1|15|C
4|1|1|16|1|16|C
4|1|1|16|1|17|C
4|1|1|16|1|27|C
4|1|1|16|1|60|C
4|1|1|16|1|61|C
4|1|1|16|1|67|C
4|1|1|16|1|68|C
4|1|1|16|1|69|C
4|1|1|16|1|70|C
4|1|1|16|1|71|C
4|1|1|16|1|72|C
4|1|1|16|1|73|C
4|1|1|16|1|74|C
4|1|1|17|1|1|C
4|1|1|17|1|10|C
4|1|1|17|1|11|C
4|1|1|17|1|12|C
4|1|1|17|1|13|C
4|1|1|17|1|14|C
4|1|1|17|1|15|C
4|1|1|17|1|16|C
4|1|1|17|1|17|C
4|1|1|17|1|18|C
4|1|1|17|1|19|C
4|1|1|17|1|20|C
4|1|1|17|1|21|C
4|1|1|17|1|22|C
4|1|1|17|1|23|C
4|1|1|17|1|24|C
4|1|1|17|1|25|C
4|1|1|17|1|26|C
4|1|1|17|1|27|C
4|1|1|17|1|28|C
4|1|1|17|1|29|C
4|1|1|17|1|31|C
4|1|1|17|1|33|C
4|1|1|17|1|35|C
4|1|1|17|1|36|C
4|1|1|17|1|37|C
4|1|1|17|1|38|C
4|1|1|17|1|43|C
4|1|1|17|1|44|C
4|1|1|17|1|47|C
4|1|1|17|1|48|C
4|1|1|17|1|49|C
4|1|1|17|1|50|C
4|1|1|17|1|51|C
4|1|1|17|1|52|C
4|1|1|17|1|53|C
4|1|1|17|1|54|C
4|1|1|17|1|55|C
4|1|1|17|1|56|C
4|1|1|17|1|57|C
4|1|1|17|1|58|C
4|1|1|17|1|59|C
4|1|1|17|1|60|C
4|1|1|17|1|61|C
4|1|1|17|1|62|C
4|1|1|17|1|63|C
4|1|1|17|1|64|C
4|1|1|17|1|65|C
4|1|1|17|1|66|C
4|1|1|17|1|67|C
4|1|1|17|1|68|C
4|1|1|17|1|69|C
4|1|1|17|1|70|C
4|1|1|17|1|71|C
4|1|1|17|1|72|C
4|1|1|17|1|73|C
4|1|1|17|1|74|C
4|1|1|17|1|75|C
4|1|1|17|1|76|C
4|1|1|17|1|77|C
4|1|1|17|1|78|C
4|1|1|17|1|79|C
4|1|1|17|1|80|C
4|1|1|17|1|81|C
4|1|1|17|1|82|C
4|1|1|17|1|83|C
4|1|1|17|1|84|C
4|1|1|17|1|85|C
4|1|1|17|1|86|C
4|1|1|17|1|87|C
4|1|1|17|1|88|C
4|1|1|17|1|89|C
4|1|1|17|1|90|C
4|1|1|17|1|91|C
4|1|1|17|1|92|C
4|1|1|17|1|93|C
4|1|1|17|1|94|C
4|1|1|17|1|95|C
4|1|1|17|1|96|C
4|1|1|17|1|97|C
4|1|1|17|1|98|C
4|1|1|17|1|99|C
4|1|1|17|1|101|C
4|1|1|17|1|102|C
4|1|1|17|1|103|C
4|1|1|17|1|104|C
4|1|1|17|1|105|C
4|1|1|17|1|106|C
4|1|1|17|1|107|C
4|1|1|17|1|108|C
4|1|1|17|1|109|C
4|1|1|17|1|111|C
4|1|1|17|1|112|C
4|1|1|17|1|113|C
4|1|1|17|1|114|C
4|1|1|17|1|115|C
4|1|1|17|1|118|C
4|1|1|17|1|119|C
4|1|1|17|1|121|C
4|1|1|17|1|122|C
4|1|1|17|1|123|C
4|1|1|17|1|124|C
4|1|1|17|1|131|C
4|1|1|17|1|132|C
4|1|1|17|1|133|C
4|1|1|17|1|134|C
4|1|1|17|1|135|C
4|1|1|17|1|136|C
4|1|1|17|1|137|C
4|1|1|17|1|138|C
4|1|1|17|1|139|C
4|1|1|17|1|141|C
4|1|1|17|1|142|C
4|1|1|17|1|143|C
4|1|1|17|1|144|C
4|1|1|17|1|145|C
4|1|1|17|1|146|C
4|1|1|17|1|147|C
4|1|1|17|1|148|C
4|1|1|17|1|149|C
4|1|1|17|1|151|C
4|1|1|17|1|152|C
4|1|1|17|1|153|C
4|1|1|17|1|154|C
4|1|1|17|1|155|C
4|1|1|17|1|156|C
4|1|1|17|1|157|C
4|1|1|17|1|158|C
4|1|1|17|1|159|C
4|1|1|17|1|161|C
4|1|1|17|1|162|C
4|1|1|17|1|163|C
4|1|1|17|1|164|C
4|1|1|17|1|165|C
4|1|1|17|1|166|C
4|1|1|17|1|167|C
4|1|1|17|1|168|*
4|1|1|17|1|169|C
4|1|1|17|1|171|C
4|1|1|17|1|172|C
4|1|1|17|1|173|C
4|1|1|17|1|174|C
4|1|1|17|1|175|C
4|1|1|17|1|176|C
4|1|1|17|1|177|*
4|1|1|17|1|178|C
4|1|1|17|1|179|C
4|1|1|17|1|191|C
4|1|1|17|1|192|C
4|1|1|17|1|193|C
4|1|1|17|1|194|C
4|1|1|17|1|195|C
4|1|1|17|1|196|C
4|1|1|17|1|197|C
4|1|1|17|1|198|C
4|1|1|17|1|199|C
4|1|1|17|1|200|C
4|1|1|17|1|201|C
4|1|1|17|1|202|C
4|1|1|17|1|203|C
4|1|1|17|1|204|*
4|1|1|17|327|9999|C
4|1|1|17|329|9999|C
4|1|1|17|332|9999|C
4|1|1|17|333|9999|C
4|1|1|18|1|1|C
4|1|1|18|1|2|C
4|1|1|18|1|3|C
4|1|1|18|1|4|C
4|1|1|18|1|6|C
4|1|1|18|1|7|C
4|1|1|18|1|8|C
4|1|1|18|1|9|C
4|1|1|18|1|13|C
4|1|1|18|1|15|C
4|1|1|18|1|16|C
4|1|1|18|1|17|*
4|1|1|18|1|18|C
4|1|1|18|1|25|C
4|1|1|18|1|26|C
4|1|1|18|1|29|C
4|1|1|18|1|30|C
4|1|1|18|1|31|C
4|1|1|18|1|34|*
4|1|1|18|1|79|C
4|1|1|18|1|80|C
4|1|1|18|1|84|C
4|1|1|18|1|85|*
4|1|1|18|1|86|C
4|1|1|18|1|91|C
4|1|1|18|1|92|*
4|1|1|19|1|1|C
4|1|1|19|1|2|C
4|1|1|19|1|8|C
4|1|1|19|1|10|C
4|1|1|19|1|11|C
4|1|1|19|1|18|C
4|1|1|19|1|21|C
4|1|1|19|1|22|C
4|1|1|19|1|23|C
4|1|1|19|1|29|C
4|1|1|19|1|30|C
4|1|1|19|1|32|C
4|1|1|19|1|33|C
4|1|1|19|1|37|C
4|1|1|19|1|38|C
4|1|1|19|1|41|C
4|1|1|19|1|47|C
4|1|1|19|1|62|C
4|1|1|19|1|63|C
4|1|1|19|1|64|C
4|1|1|19|1|65|C
4|1|1|19|1|66|C
4|1|1|19|1|69|C
4|1|1|19|1|70|C
4|1|1|19|1|71|C
4|1|1|20|1|5|C
4|1|1|20|1|9|C
4|1|1|20|1|10|C
4|1|1|20|1|18|C
4|1|1|20|1|23|C
4|1|1|20|1|24|C
4|1|1|20|1|25|C
4|1|1|20|1|26|C
4|1|1|20|1|27|C
4|1|1|20|1|28|C
4|1|1|20|1|29|C
4|1|1|20|1|34|C
4|1|1|20|1|35|C
4|1|1|20|1|36|C
4|1|1|20|1|43|C
4|1|1|20|1|47|C
4|1|1|20|1|48|C
4|1|1|20|1|79|C
4|1|1|20|1|80|C
4|1|1|20|1|83|C
4|1|1|21|1|1|C
4|1|1|21|1|2|C
4|1|1|21|1|3|C
4|1|1|21|1|4|C
4|1|1|21|1|5|C
4|1|1|21|1|6|C
4|1|1|21|1|7|C
4|1|1|21|1|8|C
4|1|1|21|1|9|C
4|1|1|21|1|10|C
4|1|1|21|1|11|C
4|1|1|21|1|12|C
4|1|1|21|1|13|C
4|1|1|21|1|14|C
4|1|1|21|1|15|C
4|1|1|21|1|17|C
4|1|1|21|1|19|C
4|1|1|21|1|20|C
4|1|1|21|1|21|C
4|1|1|21|1|22|C
4|1|1|21|1|23|C
4|1|1|21|1|25|C
4|1|1|21|1|30|C
4|1|1|21|1|31|C
4|1|1|21|1|32|C
4|1|1|21|1|33|C
4|1|1|21|1|34|C
4|1|1|21|1|35|C
4|1|1|21|1|39|C
4|1|1|21|1|67|C
4|1|1|21|1|89|C
4|1|1|22|1|12|C
4|1|1|22|1|13|C
4|1|1|22|1|27|C
4|1|1|22|1|28|C
4|1|1|22|1|29|C
4|1|1|22|1|30|C
4|1|1|22|1|40|C
4|1|1|22|1|67|C
4|1|1|22|1|68|C
4|1|1|23|1|2|C
4|1|1|23|1|8|C
4|1|1|23|1|10|C
4|1|1|23|1|11|C
4|1|1|23|1|26|C
4|1|1|23|1|56|C
4|1|1|24|1|1|C
4|1|1|24|1|4|C
4|1|1|24|1|5|C
4|1|1|24|1|10|C
4|1|1|24|1|11|C
4|1|1|24|1|16|C
4|1|1|24|1|17|C
4|1|1|24|1|18|C
4|1|1|24|1|19|C
4|1|1|24|1|22|C
4|1|1|24|1|45|C
4|1|1|24|1|49|C
4|1|1|25|1|7|C
4|1|1|25|1|18|C
4|1|1|25|1|19|C
4|1|1|25|1|20|C
4|1|1|25|1|21|C
4|1|1|25|1|28|C
4|1|1|25|1|29|C
4|1|1|25|1|36|C
4|1|1|26|1|1|*
4|1|1|26|1|11|C
4|1|1|26|1|12|C
4|1|1|26|1|13|C
4|1|1|26|1|14|C
4|1|1|26|1|15|C
4|1|1|26|1|28|C
4|1|1|26|1|29|C
4|1|1|26|1|30|C
4|1|1|26|1|31|C
4|1|1|26|1|32|C
4|1|1|26|1|47|C
4|1|1|26|1|48|C
4|1|1|26|1|49|C
4|1|1|26|1|52|C
4|1|1|27|1|1|C
4|1|1|27|1|2|C
4|1|1|27|1|3|C
4|1|1|27|1|4|C
4|1|1|27|1|5|C
4|1|1|27|1|6|C
4|1|1|27|1|7|C
4|1|1|27|1|8|C
4|1|1|27|1|9|C
4|1|1|27|1|10|C
4|1|1|27|1|11|C
4|1|1|27|1|12|*
4|1|1|27|1|13|C
4|1|1|27|1|14|C
4|1|1|27|1|15|C
4|1|1|27|1|16|C
4|1|1|27|1|17|C
4|1|1|27|1|18|C
4|1|1|27|1|19|C
4|1|1|27|1|20|C
4|1|1|27|1|21|*
4|1|1|27|1|23|C
4|1|1|27|1|24|C
4|1|1|27|1|25|C
4|1|1|27|1|26|C
4|1|1|27|1|29|C
4|1|1|27|1|30|C
4|1|1|27|1|31|C
4|1|1|27|1|42|C
4|1|1|27|1|44|C
4|1|1|27|1|45|C
4|1|1|27|1|46|C
4|1|1|27|1|47|C
4|1|1|27|1|48|*
4|1|1|27|1|49|*
4|1|1|27|1|50|*
4|1|1|27|1|51|*
4|1|1|27|1|52|*
4|1|1|27|1|53|*
4|1|1|27|1|54|*
4|1|1|27|1|55|*
4|1|1|28|1|1|C
4|1|1|28|1|2|C
4|1|1|28|1|3|C
4|1|1|28|1|4|C
4|1|1|28|1|5|C
4|1|1|28|1|6|C
4|1|1|28|1|7|C
4|1|1|28|1|8|C
4|1|1|28|1|9|C
4|1|1|28|1|10|C
4|1|1|28|1|11|C
4|1|1|28|1|12|C
4|1|1|28|1|18|C
4|1|1|28|1|19|C
4|1|1|28|1|20|C
4|1|1|28|1|21|*
4|1|1|28|1|22|C
4|1|1|28|1|23|C
4|1|1|28|1|24|C
4|1|1|28|1|25|C
4|1|1|28|1|34|C
4|1|1|28|1|35|C
4|1|1|28|1|36|*
4|1|1|28|1|37|*
4|1|1|28|1|38|C
4|1|1|28|1|42|*
4|1|1|28|1|46|C
4|1|1|28|1|47|C
4|1|1|28|1|62|*
4|1|1|28|1|63|C
4|1|1|28|1|64|C
4|1|1|28|1|65|C
4|1|1|28|1|66|*
4|1|1|28|1|67|C
4|1|1|28|1|68|C
4|1|1|28|1|69|C
4|1|1|28|1|70|C
4|1|1|28|1|71|C
4|1|1|28|1|72|*
4|1|1|28|1|73|*
4|1|1|28|1|74|*
4|1|1|28|1|75|*
4|1|1|28|1|76|*
4|1|1|28|1|77|*
4|1|1|28|1|78|*
4|1|1|28|1|79|*
4|1|1|29|1|2|C
4|1|1|29|1|3|*
4|1|1|29|1|4|*
4|1|1|29|1|10|*
4|1|1|29|1|11|C
4|1|1|29|1|12|C
4|1|1|29|1|13|C
4|1|1|29|1|14|C
4|1|1|29|1|15|C
4|1|1|29|1|16|*
4|1|1|29|1|21|*
4|1|1|29|1|22|C
4|1|1|29|1|23|C
4|1|1|29|1|24|C
4|1|1|29|1|25|C
4|1|1|29|1|26|C
4|1|1|29|1|27|C
4|1|1|29|1|28|C
4|1|1|29|1|29|C
4|1|1|29|1|30|C
4|1|1|29|1|31|C
4|1|1|29|1|32|C
4|1|1|29|1|33|C
4|1|1|29|1|37|C
4|1|1|29|1|38|C
4|1|1|29|1|39|C
4|1|1|29|1|40|C
4|1|1|29|1|60|*
4|1|1|29|1|63|C
4|1|1|29|1|64|C
4|1|1|29|1|71|C
4|1|1|30|1|5|C
4|1|1|30|1|6|C
4|1|1|30|1|7|C
4|1|1|30|1|20|C
4|1|1|30|1|21|C
4|1|1|30|1|22|C
4|1|1|30|1|23|C
4|1|1|30|1|36|C
4|1|1|30|1|37|C
4|1|1|30|1|38|C
4|1|1|30|1|39|C
4|1|1|30|1|40|C
4|1|1|30|1|41|C
4|1|1|30|1|43|C
4|1|1|30|1|44|C
4|1|1|31|1|1|C
4|1|1|31|1|2|C
4|1|1|31|1|6|C
4|1|1|31|1|8|C
4|1|1|31|1|9|C
4|1|1|31|1|17|C
4|1|1|32|1|3|C
4|1|1|32|1|14|C
4|1|1|32|1|32|C
4|1|1|32|1|33|C
4|1|1|32|1|42|C
4|1|1|32|1|43|C
4|1|1|32|1|44|C
4|1|1|32|1|45|C
4|1|1|32|1|58|C
4|1|1|32|1|65|C
4|1|1|32|1|69|C
4|1|1|32|1|70|C
4|1|1|32|1|71|*
4|1|1|32|1|72|C
4|1|1|32|1|73|C
4|1|1|32|1|74|*
4|1|1|32|1|75|C
4|1|1|33|1|8|C
4|1|1|33|1|9|C
4|1|1|33|1|15|C
4|1|1|33|1|20|C
4|1|1|33|1|21|C
4|1|1|33|1|22|C
4|1|1|33|1|23|C
4|1|1|33|1|29|C
4|1|1|33|1|31|C
4|1|1|33|1|32|C
4|1|1|33|1|33|C
4|1|1|33|1|34|C
4|1|1|33|1|41|C
4|1|1|33|1|42|C
4|1|1|33|1|43|C
4|1|1|33|1|44|C
4|1|1|33|1|51|C
4|1|1|33|1|66|C
4|1|1|34|1|1|C
4|1|1|34|1|6|C
4|1|1|34|1|7|C
4|1|1|34|1|8|C
4|1|1|34|1|10|C
4|1|1|34|1|17|C
4|1|1|34|1|24|C
4|1|1|34|1|32|C
4|1|1|34|1|41|C
4|1|1|34|1|42|C
4|1|1|34|1|43|C
4|1|1|34|1|45|C
4|1|1|34|1|46|C
4|1|1|34|1|47|C
4|1|1|35|1|33|C
4|1|1|35|1|37|C
4|1|1|35|1|38|C
4|1|1|35|1|40|C
4|1|1|35|1|44|C
4|1|1|35|1|45|C
4|1|1|35|1|49|C
4|1|1|35|1|50|C
4|1|1|35|1|51|C
4|1|1|35|1|53|C
4|1|1|35|1|54|C
4|1|1|35|1|55|C
4|1|1|35|1|56|C
4|1|1|35|1|57|C
4|1|1|35|1|58|C
4|1|1|35|1|63|C
4|1|1|35|1|64|C
4|1|1|35|1|65|C
4|1|1|35|1|78|C
4|1|1|35|1|91|C
4|1|1|35|1|92|C
4|1|1|36|1|2|C
4|1|1|36|1|9|C
4|1|1|36|1|10|C
4|1|1|36|1|11|C
4|1|1|36|1|12|C
4|1|1|36|1|18|C
4|1|1|36|1|19|C
4|1|1|36|1|20|C
4|1|1|36|1|21|C
4|1|1|36|1|22|C
4|1|1|36|1|23|C
4|1|1|36|1|34|C
4|1|1|36|1|35|C
4|1|1|36|1|36|C
4|1|1|36|1|37|C
4|1|1|36|1|45|C
4|1|1|36|1|46|C
4|1|1|36|1|62|C
4|1|1|36|1|63|C
4|1|1|36|1|64|C
4|1|1|37|1|5|C
4|1|1|37|1|6|*
4|1|1|37|1|7|*
4|1|1|37|1|9|C
4|1|1|37|1|10|C
4|1|1|37|1|11|C
4|1|1|37|1|12|C
4|1|1|37|1|25|C
4|1|1|37|1|32|C
4|1|1|37|1|34|C
4|1|1|37|1|38|C
4|1|1|37|1|39|C
4|1|1|37|1|40|C
4|1|1|37|1|41|C
4|1|1|37|1|42|C
4|1|1|37|1|57|C
4|1|1|37|1|58|C
4|1|1|37|1|59|C
4|1|1|37|1|60|C
4|1|1|37|1|61|C
4|1|1|37|1|63|C
4|1|1|37|1|69|C
4|1|1|37|1|70|C
4|1|1|37|1|71|C
4|1|1|37|1|72|C
4|1|1|38|1|4|C
4|1|1|38|1|5|*
4|1|1|38|1|8|C
4|1|1|38|1|9|C
4|1|1|38|1|10|C
4|1|1|38|1|11|C
4|1|1|38|1|12|C
4|1|1|38|1|13|C
4|1|1|38|1|14|C
4|1|1|38|1|15|C
4|1|1|38|1|16|C
4|1|1|38|1|17|C
4|1|1|38|1|18|C
